OBJECTID,ZIP,NAME,ZIPTYPE,STATE,SHAPESTArea,SHAPESTLength
216,15223,PITTSBURGH,NON-UNIQUE,PA,58192500.7326231,59532.4793182195
237,15227,PITTSBURGH,NON-UNIQUE,PA,167853669.700058,127309.359259599
256,15282,PITTSBURGH,UNIQUE,PA,2142622.4689385,7479.56212218626
257,15276,PITTSBURGH,UNIQUE,PA,3569754.96939444,9468.94315325941
258,15083,SUTERSVILLE,NON-UNIQUE,PA,7938963.55119736,19272.4923729858
268,15088,WEST ELIZABETH,NON-UNIQUE,PA,8350178.94357684,24572.8419821621
277,15116,GLENSHAW,NON-UNIQUE,PA,217213921.090491,127793.858772824
296,15122,WEST MIFFLIN,NON-UNIQUE,PA,361511152.954312,163434.472179471
298,15204,PITTSBURGH,NON-UNIQUE,PA,54962700.273484,39428.2491421331
302,15216,PITTSBURGH,NON-UNIQUE,PA,95484859.9902236,80790.1111474662
307,15102,BETHEL PARK,NON-UNIQUE,PA,293986544.066444,101984.373521187
309,15234,PITTSBURGH,NON-UNIQUE,PA,93918740.0692929,87465.2281101564
336,15017,BRIDGEVILLE,NON-UNIQUE,PA,293718857.823745,128470.762938784
370,15215,PITTSBURGH,NON-UNIQUE,PA,167816596.965515,69647.3451114415
376,15139,OAKMONT,NON-UNIQUE,PA,79188421.5733912,45913.2877120838
460,15028,COULTERS,PO BOX,PA,8293715.36935832,15909.8760504209
527,15145,TURTLE CREEK,NON-UNIQUE,PA,57210408.4140242,66680.2541000543
592,15104,BRADDOCK,NON-UNIQUE,PA,79297701.6266529,45881.6398144624
678,15086,WARRENDALE,NON-UNIQUE,PA,59766961.3132014,69085.6112848178
853,15142,PRESTO,NON-UNIQUE,PA,55011958.7774682,53468.7741656776
858,16056,SAXONBURG,NON-UNIQUE,PA,4610616.28849515,11655.5706416038
859,15068,NEW KENSINGTON,NON-UNIQUE,PA,267061225.871911,106484.577449446
860,15005,BADEN,NON-UNIQUE,PA,108907649.149922,66018.8071534018
882,15668,MURRYSVILLE,NON-UNIQUE,PA,1402599.78181459,6862.90291813578
883,15642,IRWIN,NON-UNIQUE,PA,2767197.44778964,9596.73937758374
884,15085,TRAFFORD,NON-UNIQUE,PA,7857065.64323041,27577.3477013032
886,15089,WEST NEWTON,NON-UNIQUE,PA,9878841.81628718,16765.4534479626
900,15321,CECIL,NON-UNIQUE,PA,2149141.01255239,6361.25959771087
903,15241,PITTSBURGH,NON-UNIQUE,PA,278341667.687092,107353.519530298
905,15332,FINLEYVILLE,NON-UNIQUE,PA,98262634.7574164,73029.6570597083
